id,identifier,name,type_id,damage_class_id,damage,energy,accuracy,summary,description,target,category
278,recycle,Recycle,1,3,,3,,Restores the user's held item.,"Streamers of white light swirl around the user as it forces its energy outward, either using it to recharge a spent item or creating a copy of an item it has used earlier in this battle. This attack fails if the user is already holding something.",Self,Special
279,revenge,Revenge,7,1,6,3,100,Does 12% base damage if the target hit the user this action.,"The user waits for the foe to attack, then strikes back with twice the power if it was hit with a damaging move.",Single,Contact/Priority -4
280,brick-break,Brick Break,7,1,7,4,100,Breaks through Reflect and Light Screen.,"The user performs a three-punch combo, shattering any shields protecting the foe and dealing them moderate damage besides.",Single,Contact
281,yawn,Yawn,1,3,,4,,Puts the target to sleep at the end of the next action.,"The user yawns broadly, making the opponent irresistibly drowsy and causing it to fall asleep at the end of its next action.",Single,Status (sleep)
282,knock-off,Knock Off,16,1,6,3,100,"Has 9% base damage if the target is holding an item, and removes the item.","The user swipes at whatever the target may be holding or wearing, knocking it away and causing the target to lose whatever benefits might be associated with its possession. If the target isn't holding anything, this attack is merely a mild swipe charged with dark-type energy.",Single,Contact
283,endeavor,Endeavor,1,1,-1,-1,100,Lowers the target's health to match the user.,"The user turns all the health they have lost in the current battle into fuel for a fast, tackle-like move. The more health the user has lost, the more they are motivated to try harder and deal more damage to the foe. If they are extremely weak, though, they may not have enough strength to use this move.",Single,Contact
284,eruption,Eruption,2,2,15,9,100,Base damage and energy cost fall proportional to the user's remaining health.,"The user glows a ruddy reddish color before blasting a massive torrent of lava and rock into the air, which then showers back down over foes. The more health that that user has, the more powerful the attack, as it takes considerable fortitude to be able to be able to create the largest of eruptions.",Multiple,Projectile
285,skill-swap,Skill Swap,11,3,,3,,Swaps the user and target's abilities.,"The user uses psychic power to fundamentally alter its energy signature, transferring it to their opponent while at the same time applying the opponent's energy signature to itself. Effectively, the two pokémon swap abilities.",Single,Special
286,imprison,Imprison,11,3,,5,,Prevents all opponents from using any move that the target has used so far for three rounds.,"The user casts a binding spell on the moves that it has used thus far in battle, locking them down and preventing all opponents from using them for the next three rounds.",Multiple,Special
287,refresh,Refresh,1,3,,3,,Heals the user's major status ailments.,"The user glows brightly as their body's natural healing processes are heightened, purging them of major status effects.",Self,Healing (status)
288,grudge,Grudge,14,3,,5,,Prevents any Pokémon that knocks out the user before the end of the round from using any moves it used that round for the rest of the battle.,"The user braces itself, surrounding itself with a dark aura. If an opponent manages to KO the user during this round, then the ghostly power of this attack enters its body and infects them with a strong aversion to using any of the moves it had utilized that round, preventing it from using them for the remainder of the battle.",Single,Special
289,snatch,Snatch,16,3,,-1,,"Steals the first non-damaging, self-targetted move used by any opponent this action.","The user waits patiently, glowing with a dark aura, for one of its opponents to make an attack that it can steal. When the foe starts to perform one such attack, the dark energy surrounding the user swiftly lashes out and absorbs the move, drawing its energy back to snatch's user and giving it the attack's benefit. This attack is effective against all attacks that are self-affecting only and non-damaging, including stat-raising attacks such as swords dance, health-restoring attacks such as recover, status-removing attacks such as refresh, defensive attacks such as light screen, and some miscellaneous attacks such as substitute (in the case of substitute, the snatching pokémon will still lose health to create the substitute, while the original user of the attack will not). This attack cannot be given a specific target; it takes effect against the first attack that can be snatched, regardless of what pokémon uses it.",Random,Special/Priority 4
290,secret-power,Secret Power,1,1,7,5,100,Has a 30% chance of inflicting an extra effect that depends on the terrain.,"The user focuses and taps into an arcane power known only to a chosen few, unleashing it in the form of a brilliant beam of light. This beam draws upon the energy of the natural world, and it becomes colored according to the surrounding terrain and gains the power to cause some extra effect to the target as well (30% chance of extra effect; the attack is always normal-type). The beam color and its added effects, with regards to terrain, are thus: Grass: Sleep, green; Sand: Reduce Accuracy, yellow; Shallow Water (pond or shallower): Reduce Speed, light blue or turquoise; Deep Water (lake or deeper): Reduce Attack, blue; Cave: Flinch, black; Snow/Ice: freeze, light blue; Inside Buildings, Other: Paralysis, white. When determining the terrain type for secret power, the overall arena's terrain type is taken into consideration (thus, if the arena is primarily field but has a small pond in the middle, secret power acts as it would for an area of short grass). If the arena is too diverse to assess in this fashion, the area directly surrounding the user of the attack is what is taken into consideration.",Single,Projectile/Status/Stat modifier
291,dive,Dive,3,1,8,4,100,"Dives underwater, dodging most moves, then hits.  Costs 3% extra energy to do both in one action.","This move only works if there is standing water of at least three meters deep in the user's vicinity; sometimes more is needed, depending on how large the user is. The user will leap up and then quickly dive down in the water, then come shooting up from below to slam into their opponent in a burst of water. Alternatively, the pokémon may be commanded to stay underwater for an extended period of time while performing actions before resurfacing--although this is not recommended for species without gills!",Single,Contact
292,arm-thrust,Arm Thrust,7,1,-1,-1,100,Hits 2-5 times in one action.  Base damage is 1.5 times the number of hits.,"The user looses a rapid-fire burst of straight-armed punches, striking the opponent several times and potentially shoving them back a considerable distance.",Single,Contact/Random damage
293,camouflage,Camouflage,1,3,,3,,Changes the user's type depending on the arena.,"The user changes their chemical and biological makeup so that they blend in with their environment. Their types also change to suit their immediate surroundings. If in vegetation they become grass-type; in manmade terrain, they become normal-type; on or in a body of water, they become water-type; on or in lava or fire of some sort, they become fire-type; in an aerial arena, they become flying-type; in rough terrain, they become ground-type; and in a mountainous or subterranean arena they become rock-type.",Self,Special
294,tail-glow,Tail Glow,12,3,,3,,Raises the user's Special Attack by three stages.,"The user's tail becomes energized and lights up with power, augmenting its special attacks and greatly raising its special attack three levels.",Self,Stat modifier (special attack)
295,luster-purge,Luster Purge,11,2,7,5,100,Has a 50% chance to lower the target's Special Defense by one stage.,"The user glows and sparkles with an intense light born of psychic energy, which streams out towards the opponent and sears it with concentrated energy. This attack is so caustic that it has a fifty percent chance of eroding the foe's special defenses.",Single,Projectile/Stat modifier (special defense)
296,mist-ball,Mist Ball,11,2,7,5,100,Has a 50% chance to lower the target's Special Attack by one stage.,"The user gathers psychically charged down into a misty ball of energy and fluff, then hurls it at the foe. The mist ball bursts upon contact with the opponent, showering them with enchanted down that lowers their will to fight.",Single,Projectile/Stat modifier (special attack)
297,feather-dance,Feather Dance,10,3,,2,100,Lowers the target's attack by two stages.,"The user performs an intricate dance, sending a swirl of downy feathers at its target that soothe the opponent and lull it into complacency, greatly lowering its attack.",Single,Stat modifier (attack)
298,teeter-dance,Teeter Dance,1,3,,4,100,Confuses all other Pokémon who see the user's dance.,"The user performs a strange, wobbly dance that causes those watching to become dizzy, nauseous, and confused.",Multiple,Status (confusion)
299,blaze-kick,Blaze Kick,2,1,8,4,90,Has a critical hit rate one stage higher than normal and a 10% chance to burn the target.,"The user's foot become engulfed in fire as they lash out with it at the opponent. Not only may this attack cause a burn, but it can be delivered quite precisely to the foe's weak point, increasing the chance for a critical hit as well.",Single,Contact/Status (burn)/Critical
300,mud-sport,Mud Sport,9,3,,3,,Lowers the effectiveness of Electric-type moves used against any friendly Pokémon by one stage.,"The user rolls around in the mud and smears any that is available all over itself and its allies, covering them in an thick coat of muck that greatly decreases the effectiveness of electric attacks used against them.",Multiple,Special
301,ice-ball,Ice Ball,6,1,3,2,90,Base damage doubles with each successful consecutive use.,"The user curls itself into a ball and encrusts its body in an outer layer of chilly ice. It then rolls forward, slowly, and plows into the opponent before rolling away again and circling around to gain more speed. This attack may be repeated up to five times, with the user picking up speed and increasing the toughness of its icy shell each time. For each time this attack successfully strikes in succession after the first, its base power is doubled, and if defense curl was used on the action before this attack began, its base power begins at 60 instead of 30.",Single,Contact
302,needle-arm,Needle Arm,4,1,6,4,100,Has a 30% chance to make the target flinch.,"The user smacks the opponent with its spiny arm, scratching them up and possibly causing them to flinch with pain.",Single,Contact/Flinch (30%)
303,slack-off,Slack Off,1,3,,-1,,Restores 50% of the user's health.,"The user loafs around and relaxes to regain health. Because of the lethargy of this move, the user is more susceptible to attack while performing it.",Self,Healing (direct)
304,hyper-voice,Hyper Voice,1,2,9,5,100,Deals damage.  No other effect.,"The user takes a deep breath, opens its mouth wide, and emits the loudest scream possible. This scream generates massive sound waves that pummel the opponent, also possibly shattering or knocking away nearby terrain with sheer volume.",Multiple,Projectile
305,poison-fang,Poison Fang,8,1,5,4,100,Has a 30% chance to badly poison the target.,"The user bites down on the foe and injects them with potent venom. This attack has a good chance of causing prolonged, severe poisoning.",Single,Contact/Status (severe poison)
306,crush-claw,Crush Claw,1,1,7,5,95,Has a 50% chance to lower thee target's Defense by one stage.,"The user sinks their claws into the foe with shattering force, ripping through tough armor and thick flesh with ease. This attack can tear up the foe's flesh, possibly lowering their defense.",Single,Contact/Stat modifier (defense)
307,blast-burn,Blast Burn,2,2,15,9,90,Requires an action to recharge.  Can be used in one action for 3% extra energy.,"The ultimate fire-type attack, it takes a while to charge and consumes a considerable amount of energy but has explosive effects. The user charges up and then releases a massive fireball that rockets towards its target and detonates explosively upon contact, flinging the opponent back a good distance in a burst of intense heat and fire.",Single,Projectile
308,hydro-cannon,Hydro Cannon,3,2,15,9,90,Requires an action to recharge.  Can be used in one action for 3% extra energy.,"The user shoots out extremely strong torrents or water from its cannons (blastoise only) or mouth (any other pokémon), knocking the opponent back and totally deluging them in a prolonged, intense blast of liquid. However, this move consumes an incredible amount of energy in very little time.",Single,Projectile
309,meteor-mash,Meteor Mash,17,1,9,5,90,Has a 20% chance to raise the user's Attack by one stage.,"The user's body glows with intense energy as it builds up for one great, metallic punch that has behind it the force of a meteorite strike.",Single,Contact/Stat modifier (attack)
310,astonish,Astonish,14,1,3,3,100,Has a 30% chance to make the target flinch.,"The user makes a swift, menacing motion that shocks and unsettles its foe. The attack itself is weak, and the surprise effect wears off quickly, so eventually this attack becomes an ineffective way to scare foes.",Single,Contact/Projectile/Flinch (30%)
311,weather-ball,Weather Ball,1,2,5,3,100,Deals 10% base damage and changes type to match the weather if there is weather in effect.,"The user launches a ball of malleable energy into the sky, allowing it to pick up power from the current weather conditions, then directs it to fall back down onto the foe. The type and texture of this attack depends on the current weather, and if it is used when a particular condition is in effect, its power is doubled.",Single,Projectile/Special
312,aromatherapy,Aromatherapy,4,3,,3,,Heals all friendly Pokémon's status conditions.,"The user releases a wonderful scent that soothes its own nerves and those of its teammates, stimulating the pokémon's natural healing processes and eliminating all status conditions.",Multiple,"Healing (status, all)"
313,fake-tears,Fake Tears,16,3,,2,100,Lowers the target's Special Defense by two stages.,"The user pretends to cry, encouraging feelings of sympathy in the target that leave it unprepared for the user's future attacks and considerably lowering the target's special defense as a result.",Single,Stat modifier (special defense)
314,air-cutter,Air Cutter,10,2,6,3,95,Has a critical hit rate one stage higher than normal.,"The pokémon gathers energy in its wings and flaps them rapidly to release several thin, sharp beams of wind. These compressed pockets of air can cut through the foe's defenses, resulting in an increased chance of scoring a critical hit.",Multiple,Projectile/Critical
315,overheat,Overheat,2,2,13,8,90,Lowers the user's Special Attack by two stages.,"The user heats its body to an extreme temperature, then unleashes a huge curtain of white-hot fire at the opponent, engulfing them with searing energy. Although potent, this attack is very draining and considerably lowers the special attack power of the pokémon that unleashes it until it is able to rest and recover its composure.",Single,Projectile/Stat modifier (special attack)
316,odor-sleuth,Odor Sleuth,1,3,,5,,Resets each target's Evasion stages and makes Ghost-types vulnerable to Normal- and Fighting-type moves for six actions.,"The user sniffs out the opposing pokémon, identifying it even through double teams, smokescreens, and so forth. This attack renders illusions moot, as the user will always be able to tell where the real opponent is, locks ghosts into corporeality for several actions, and also prevents moves like faint attack from having effect.",Single,Special
317,rock-tomb,Rock Tomb,13,1,6,4,95,Has a 100% chance to lower the target's Speed by one stage.,"The user stomps on the earth, making the ground around the target rise up and collapse over the foe, trapping it beneath dirt and rubble. The opponent suffers slightly reduced speed as a result of the injuries incurred by being crushed through use of this attack, and may in addition have difficulty escaping from its rocky prison.",Single,Projectile/Stat modifier (speed)
318,silver-wind,Silver Wind,12,2,6,3,100,Has a 10% chance to raise all stats (except Evasion and Accuracy) by one stage.,"The user generates a magical, glittering wind imbued with the power of airborne spirits. If the spirits enter the user as it gathers and commands this attack, all the pokémon's abilities are slightly enhanced.",Multiple,Projectile/Stat modifier (all)
319,metal-sound,Metal Sound,17,3,,2,85,Lowers the target's Special Defense by two stages for three actions.,"The user rasps the metallic portions of its body together to create a noise so horrible that it makes concentration and mental defense imopossible, greatly lowering the target's resistance to special attacks for a short time after the attack is performed.",Single,Projectile/Stat modifier (special defense)
320,grass-whistle,Grass Whistle,4,3,,1,55,Puts the target to sleep.,"The user fashions a leaf into a makeshift whistle and blows out a soothing, carrying tune that lulls the target to sleep.",Multiple,Projectile/Status (sleep)
321,tickle,Tickle,1,3,,2,100,Lowers the target's Attack and Defense by one stage.,"The user tickles the foe mercilessly, temporarily afflicting the target with giggles and lowering its attack and defense.",Single,"Stat modifier (defense, attack)"
322,cosmic-power,Cosmic Power,11,3,,2,,Raises the user's Defense and Special Defense by one stage.,"The user draws upon the energy of the heavenly bodies, shimmering with a dazzling white light as they reinforce not only their physical defenses but also their mental ones, slightly increasing both defense and special defense.",Self,"Stat modifier (defense, special defense)"
323,water-spout,Water Spout,3,2,15,9,100,Base damage and energy cost fall proportional to the user's remaining health.,"The user blasts an incredible amount of water into the air, allowing it to shower back down over its foes. The weaker the user is, the less devastating the water spout.",Multiple,Projectile
324,signal-beam,Signal Beam,12,2,7,4,100,Has a 10% chance to confuse the target.,"The user blasts intertwined chains of blue and red bug energy at the opponent, filling its ears with a droning hum that may leave it confused.",Single,Projectile/Status (confusion)
325,shadow-punch,Shadow Punch,14,1,6,3,,Never misses.,The user forms a fist out of ghostly shadow energy and launches it at the foe. It follows the target unerringly and slams into it with incredible accuracy.,Single,Projectile
326,extrasensory,Extrasensory,11,2,8,4,100,Has a 10% chance to make the target flinch.,"The pokémon uses psychic power to sense an opponent's mental weaknesses and then attacks them, causing excruciating pain and disorientation. This attack is so invasive that it may cause the target to flinch involuntarily.",Single,Projectile/Flinch (10%)
327,sky-uppercut,Sky Uppercut,7,1,8,4,90,Can hit high-flying Pokémon.,The user rockets into the air under the power of its own upward punch in order to deliver an uppercut to even the highest-flying of foes.,Single,Contact
328,sand-tomb,Sand Tomb,9,1,3,2,85,Traps the target and deals 1% damage after each action for five actions.,The user manipulates the ground around the opponent to trap it in a whirlpool of quicksand. This attack may only be used on sandy surfaces or surfaces with many small objects that can be controlled in a similar fashion.,Single,Projectile
329,sheer-cold,Sheer Cold,6,2,-1,-1,30,"Deals damage equal to the damage cap, or 100% if there is none.","The user spends a great deal of time and effort making the temperature of the arena fall to just a hair above absolute zero. Few pokémon can withstand the frigidness of this attack and as a result suffer massive damage from it. If the user is interrupted, this attack fails.",Single,Projectile/OHKO
330,muddy-water,Muddy Water,3,2,9,6,85,Has a 30% chance to lower the target's Accuracy by one stage.,"The user sends a wave of murky water right at the opponent, dousing them and making it very hard for it to see for a short time if grime gets into its eyes. This attack can only be used when there is a significant body of water present.",Multiple,Projectile/Stat modifier (accuracy)
331,bullet-seed,Bullet Seed,4,1,-1,-1,100,Hits 2-5 times in one action.  Base damage is 2.5 times the number of hits.,"The user fires several bursts of tiny seeds at the opponent. Although each volley is only capable of light damage, it can add up quickly if most of the bursts strike.",Single,Projectile/Random damage
332,aerial-ace,Aerial Ace,10,1,6,3,,Never misses.,"The pokémon hurtles towards its opponent at blinding speed and connects with a lightning-quick strike. Due to the velocity of this attack, it is almost impossible to dodge.",Single,Contact
333,icicle-spear,Icicle Spear,6,1,-1,-1,100,Hits 2-5 times in one action.  Base damage is 2.5 times the number of hits.,"The user fashions a set of unnaturally sharp and hard icicles and launches them at the opponent. The number of icicles lobbed in this fashion is random, and though each one does little damage individually, it can add up quickly if most of them hit successfully.",Single,Projectile/Random
334,iron-defense,Iron Defense,17,3,,2,,Raises the user's Defense by two stages.,"The user secretes a thin layer of metal that spreads out across its body, providing a malleable layer of protection that allows unencumbered movement under normal conditions but will turn temporarily hard as steel in response to sharp impacts. This effectively causes a significant increase in defense.",Self,Stat modifier (defense)
335,block,Block,1,3,,3,,"Blocks the target's path, preventing it from switching or using moves that require a lot of movement.","If the target is attempting to run from something, such as the user, the user jumps in front of them as quickly as possible, blocking their progress. This can be used to intercept attacks such as double team, cutting them off and making them useless, or to prevent a pokémon from being switched out.",Single,Special
336,howl,Howl,1,3,,1,,Raises the user's Attack by one stage.,The user raises its head to the sky and lets loose a wild howl. This serves to bolster its self-confidence and slightly raise its attacking power.,Self,Stat modifier (attack)
337,dragon-claw,Dragon Claw,15,1,8,4,100,Deals damage.  No other effect.,"The user's talons become engulfed in dragon-type energy as they lash out at the foe with their claws, scoring deep gashes in their hide. Damage is dealt not only by the strike itself but by contact with the dragon energy leaping from the user's claws.",Single,Contact
338,frenzy-plant,Frenzy Plant,4,2,15,9,90,Requires an action to recharge.  Can be used in one action for 3% extra energy.,"The ultimate grass-type attack, it takes a long time to charge and uses considerable energy but has explosive effects. The user pours natural energy into the plants surrounding them, bringing them to life (or, in arenas where there is no vegetation, causing living plants to grow). The animated foliage will then attack the target, wrapping around it and squeezing it or lashing it with branches and thorns, dealing a great deal of damage.",Single,Projectile
339,bulk-up,Bulk Up,7,3,,2,,Raises the user's Attack and Defense by one stage.,"The user sends their metabolism into overdrive, adding several layers of muscle to their body to slightly increase not only their attack but also their defense. This causes the user to become noticeably larger and somewhat heavier as well, although repeated uses of this attack may reduce mobility.",Self,Stat modifier (attack and defense)
340,bounce,Bounce,10,1,8,5,85,Has a 30% chance to paralyze the target.,"The user leaps high into the sky, then comes crashing down on the foe from above. The target, which is crushed into the ground by the attack, may find themselves made stiff and achy as a result of this attack, with effects identical to those of paralysis.",Single,Contact/Status (paralysis)
341,mud-shot,Mud Shot,9,2,5,4,95,Has a 100% chance to lower the target's Speed by one stage.,"The user blasts a large stream of mud at the opponent, temporarily covering them in heavy goop and impeding them until they get out of it. May also blind if it covers the eyes.",Single,Projectile/Stat modifier (speed)
342,poison-tail,Poison Tail,8,1,5,3,100,Has a 10% chance to poison the target and a critical hit rate one stage higher than normal.,"The user stabs the opponent with a stinger, attempting to inject it with poison. The piercing nature of this attack gives it the capability to bypass most defenses, increasing the chance of causing a critical hit.",Single,Contact/Status (poison)/Critical
343,covet,Covet,1,1,6,3,100,Steals the target's item.,"The user pleads with the target pokémon for it to give up whatever it might be holding. After the target gives in, the user grabs the item and smacks the opponent for minor damage before retreating. If the user of this technique is already holding an item, it may choose to switch its equipment for the pilfered item, or it may discard what it has stolen instead.",Single,Projectile
344,volt-tackle,Volt Tackle,5,1,12,7,100,Has a 10% chance to paralyze the target.  Deals recoil damage to the user equal to 1/3 the damage dealt.,"The user charges their body with a huge amount of electricity, charging straight at the foe and ramming into it with great force. This attack is very powerful but causes recoil damage.",Single,Contact
345,magical-leaf,Magical Leaf,4,2,6,3,,Never misses.,"The user summons a cloud of energy-charged leaves and sends them whistling towards the opponent. They are not thrown with the same intensity as razor leaf, but as they home in on the target's energy signature they are incredibly difficult to dodge.",Single,Projectile
346,water-sport,Water Sport,3,3,,3,,Lowers the effectiveness of Fire-type moves used against the user or its allies by one stage.,"The user splashes playfully around in the water, getting both itself and its allies totally soaked, reducing their susceptibility to fire attacks.",Multiple,Special
347,calm-mind,Calm Mind,11,3,,2,,Raises the user's Special Attack and Special Defense by one stage.,"The user retreats into their mind, meditating and blocking the world around them out of their thoughts. This not only serves to heighten their mental prowess but also reduces the effects of confusion and other mental abberations and makes the user less susceptible to attacks that would mess with its mental state.",Self,"Stat modifier (special attack, special defense)"
348,leaf-blade,Leaf Blade,4,1,9,5,100,Has a critical hit rate one stage higher than normal.,"If the user already possesses leaves, these grow to an incredible length, strength, and sharpness and are used to slash the foe. If the user does not have leaves, one of their sharp appendages instead becomes charged with grass energy and is used to rip into the opponent. The cutting nature of this attack offers an increased chance at causing a critical hit.",Single,Contact/Critical
349,dragon-dance,Dragon Dance,15,3,,2,,Raises the user's Attack and Speed by one stage.,"The user twists and coils through a mystical dance, summoning up dragon energy that courses through their body, improving their strength and mobility for a slight increase in attack and speed.",Self,"Stat modifier (speed, attack)"
350,rock-blast,Rock Blast,13,1,-1,-1,90,Hits 2-5 times in one action.  Base damage is 2.5 times the number of hits.,The user hurls several rocks at the opponent in quick succession.,Single,Projectile/Random damage
351,shock-wave,Shock Wave,5,2,6,3,,Never misses.,"The user releases a wave of erratic electric pulses that spread out in all directions, providing for amazing accuracy.",Multiple,Projectile
352,water-pulse,Water Pulse,3,2,6,3,100,Has a 20% chance to confuse the target.,The user blasts a rhythmic pulse of water wrapped around sound waves at the opponent. The sonic distortions caused by this attack may cause the target to become disoriented and confused.,Single,Projectile/Status (confusion)
353,doom-desire,Doom Desire,17,2,14,8,100,"Hits the target one to three actions later, at the end of the action.","The user makes a terrible wish to bring destruction down upon their foes. Sometime within the next three actions, their call is answered as beams of pure silver energy lance down from the heavens, annihilating everything in their path with the fury of pure steel-type power.",Single,Projectile
354,psycho-boost,Psycho Boost,11,2,14,8,90,Lowers the user's Special Attack by two stages.,"The user calls up all their psychic power to create a massive blast of pure energy that deals excellent damage but unfortunately leaves the user very drained upon dissipating, resulting in a temporary large decrease in their special attack capabilities.",Single,Projectile/Stat modifier (special attack)
355,roost,Roost,10,3,,-1,,"Restores 50% of the user's health, and removes its Flying type, if applicable, until the end of the next action.","The user finds someplace to perch and rest for a spell, neglecting to fly about as it relaxes and restores health. However, this leaves it vulnerable to such scourges as ground-type attacks, as it is not able to fly again until the end of the action after roost is used. As a result, the user effectively loses all flying-type characteristics until the end of its next action--thus it is are no longer weak to electricity, ice, or rocks, but can now be struck by ground-type attacks. The user's secondary type, if any, is unaltered, so a charizard using roost would take 1.5x damage from an earthquake.",Self,Healing (direct)/Special
356,gravity,Gravity,11,3,,4,,"For five actions, prevents Pokémon from flying or levitating and raises the accuracy of all moves by 20%.","The user greatly increases the pull of gravity within the bounds of the arena, making all attempts at flight or levitation incredibly energy-costly if not outright impossible. All pokémon that can hover or fly will be forcibly brought back to earth and kept there until gravity's effects end after five actions, and attacks that require leaping or temporary flight or levitation will be incredibly difficult to perform. Not only that, but the strain of moving around under high-gravity conditions causes pokémon to become sluggish and clumsy, with the result that it is far more difficult to dodge incoming attacks. In effect, that means that all pokémon within a field of high gravity behave as though their accuracy has been raised by two levels.",All,Special
357,miracle-eye,Miracle Eye,11,3,,5,,Resets the target's Evasion stages and makes Dark-types vulnerable to Psychic-type moves for six actions.,"The user peers into the target's soul with an all-seeing power, brushing aside all veils of darkness and dispelling all illusions. This destroys any and all illusions created by the target, locks ghosts into a solid form, and allows the target to be struck by psychic-type attacks made by the user even if the target is dark-type.",Single,Special
358,wake-up-slap,Wake-Up Slap,7,1,7,4,100,"Base damage rises if the target is asleep, depending on severity.  Wakes the target up.","The user slaps the opponent about the head and face. If they are asleep, this attack is twice is effective, but it also serves to wake the target up.",Single,"Contact/Healing (status, sleep)/Special"
359,hammer-arm,Hammer Arm,7,1,10,5,90,Lowers the user's Speed by one stage.,"The user mightily slams its arm down atop its foe, crushing them into the ground with the strength of the blow. This attack is cumbersome to perform, however, and causes the user to experience impaired movement for a short time afterwards, resulting in a slight lowering of its speed.",Single,Contact/Stat modifier (speed)
360,gyro-ball,Gyro Ball,17,1,-1,-1,100,Deals more damage the slower the user is compared to the target.,"The user curls itself into a ball and coats itself in a layer of resilient metal energy, then rolls into its opponent, bowling them over.  Slower pokémon are better able to control their rolling, and can get in maximum damage against faster foes who are more likely to underestimate their maneuverability. If the user is slower than the opponent, the base power of this attack is equal to the absolute value of the difference in base speeds between the user and the target opponent, up to 150 base power. Otherwise, its base power is 25.",Single,Contact/Special
361,healing-wish,Healing Wish,11,3,,-1,,Knocks the user out and fully heals its replacement's health.,"The user puts all its remaining energy into making a desperate bid to Jirachi for aide, sacrificing itself in order to aid its ally. The user faints, and when the replacement pokémon is sent out it is temporarily surrounded by a pulsing red aura as the wish is granted and all its injuries are washed away. This attack heals all major status afflictions and completely restores the health of the next ally sent onto the battlefield.",Self,"Healing (direct)/Healing (status, all)/Special"
362,brine,Brine,3,2,6,3,100,Has 12% base damage if the target is below 50% health.,"The user drenches the target with a wave of extremely salty water. The salt gets into whatever wounds they may have, stinging horribly, so more damaged opponents are more susceptible to this attack. If the target is below 50% health, this attack's base power is doubled.",Single,Projectile/Special
363,natural-gift,Natural Gift,1,1,-1,-1,100,Has a really complicated effect based on the user's signature move.  Going to change this soon.,"The pokémon uses its natural abilities to their fullest extent, capitalizing on the attributes that makes it unique and the powers that only it possesses. The type and base power of this attack is determined by the user's signature move: If the pokémon has no signature move, the attack is a power 90 normal-type attack that cannot miss. The type of natural gift is dependent on the type of the user's signature move; natural gift's type is whatever sits one to the right of its signature move's type on the following list: Normal - Steel - Ghost - Ground - Electric - Fighting - Dark - Poison - Water - Psychic - Bug - Rock - Grass - Ice - Dragon - Flying - Fire. The base power and effects of the move vary based on the maximum base damage percent that could be caused by the signature move: 20+% : 40 BP, 30% chance of flinch; 15-19% : 60 BP, high crit ratio; 10-14% : 95 BP; 6%-10% : 80 BP, 10% chance of raising all stats slightly; 5-% : 110 BP. If the signature move deals no damage whatsoever, then Natural Gift has 0 BP and has the effect ""Select any two of paralysis, poison, confusion, sleep, and burn. Both the user and the target opponent gain these status conditions."" The performance of natural gift is similar to that of secret power--the user concentrates their natural power into a beam of pure energy that has the attack's appropriate attributes.",Single,Projectile
364,feint,Feint,1,1,3,2,100,Breaks through Protect and Detect.,"The user performs a clever feint, pretending to attack the opponent and causing them to throw up their defenses. In truth, however, the initial attack is only a trick, and as soon as the opponent releases its defenses again the user leaps in for a quick hit-and-run strike. If the target is attempting to use protect or detect, the feint user will shock them right out of their attack, leaving them defenseless and open to further damage from the feint user's allies, if any.",Single,Contact/Special/Priority 2
365,pluck,Pluck,10,1,6,3,100,"If the target is holding a berry, the user eats it and base damage is doubled.","The user reaches over and either stabs the opponent with their beak or, if the opponent is holding a berry, ripping it forcibly out of their grasp. The power of this attack is effectively double against opponents that are holding a berry, and as the user eats the berry after stealing it, they gain the effects of the berry upon using this attack as well.",Single,Contact
366,tailwind,Tailwind,10,3,,4,,Raises the user and its allies' Speed for four actions.,"The user summons up a gentle wind that blows from behind its team and towards the opponents, giving all its allies a slight boost in speed for four actions, after which the wind dies away.",Multiple,Stat modifier (Speed)
367,acupressure,Acupressure,1,3,,2,,Raises a random stat by two stages.,"The pokémon applies pressure to one of the acupuncture points on its body, modifying the function of its internal systems and greatly increasing their outputs. Although quite powerful, the effects of this attack are difficult to control, and as a result the use of this attack will sharply raise a random one of the user's stats.",Self,Stat modifier (all)/Random
368,metal-burst,Metal Burst,17,1,-1,-1,100,"Counters any damaging move, dealing twice as much damage as the user took.  Fails if the user moves first.","The user returns any attack thrown at it with twice the fury as it strikes back with a burst of searing metal. If the user is faster than all opponents or no damaging attacks strike it, this move fails.",Single,Special
369,u-turn,U-turn,12,1,7,4,100,Makes the user switch out.,"The user dashes towards the opponent but then makes an abrupt change of direction, slashing viciously at the target as it banks around and head back towards its trainer, retreating into its pokéball. The user switches out after dealing damage with this attack, and the maneuver is so unexpected that it allows even for the escape from trapping moves such as mean look.",Single,Contact/Special
370,close-combat,Close Combat,7,1,12,7,100,Lowers the user's Defense and Special Defense by one stage.,"The user engages the opponent close up, leaving them nowhere to run from the damaging physical assault. However, this attack is somewhat reckless, and in maneuvering in close to the opponent the user leaves themselves open to the foe's attacks, slightly lowering their defense and special defense.",Single,"Contact/Stat modifier (defense, special defense)"
371,payback,Payback,16,1,5,3,100,Does 10% base damage if the target has already acted this action.,"If the target opponent has already acted during this action, the user pays it back in full with a bitter, dark energy-laced attack that is twice as powerful as it would be otherwise.",Single,Contact
372,assurance,Assurance,16,1,6,3,100,Base damage and energy cost are doubled if the target has already taken damage this action.,"The user pounces on the foe just when it is most vulnerable and reeling from another attack, making a vicious opportunistic strike. This attack's power is doubled if its target has already taken damage this action.",Single,Contact
